date,country,Taipei,NewTaipei
112Q1,130.98,119.41,132.13
111Q4,133.06,123.92,129.97
111Q3,132.17,114.12,126.79
111Q2,128.33,119.56,118.99
111Q1,121.05,116.63,119.12
110Q4,106.50,107.40,109.77
110Q3,98.83,103.99,99.08
110Q2,95.25,100.28,97.15
110Q1,95.17,98.66,96.60
109Q4,94.34,93.46,95.78
109Q3,94.64,93.41,99.43
109Q2,92.80,88.92,96.45
109Q1,89.17,86.81,98.35
108Q4,87.28,86.15,95.17
108Q3,86.46,88.59,90.00
108Q2,84.84,91.59,87.99
108Q1,85.07,86.07,88.00
107Q4,83.81,87.00,88.59
107Q3,79.04,85.05,91.82
107Q2,79.65,89.39,93.88
107Q1,77.80,82.89,90.23
106Q4,79.82,92.17,92.72
106Q3,75.90,90.50,89.81
106Q2,75.67,83.52,85.12
106Q1,75.61,87.39,87.80
105Q4,73.69,75.91,86.90
105Q3,76.44,79.42,88.91
105Q2,71.09,82.22,85.12
105Q1,73.27,82.28,93.56
104Q4,84.09,82.00,92.55
104Q3,89.89,86.42,92.86
104Q2,92.35,87.44,96.44
104Q1,90.28,87.83,96.13
